trial_id,place,date,start_date,end_date,name,gender,sentence,corpse_burned,notes,amount
1,Osnabrück,1583.0,,,"Meyers, Hille",w,Verbrannt,,,1.0
2,Biel,,1597.0,1598.0,"Mathyß, Hans Heinrich",m,Verbrannt,,in Switzerland,1.0
3,Goslar,1599.0,,,"Bulicher, Hans",m,Verbrannt,,and wife,1.0
4,Egeln,,1612.0,1613.0,"Lindemann, Orthien",w,,,near Magdeburg,1.0
5,Zug,1615.0,,,"Kapeller, Ann",w,Erdrosselt,y,"in Switzerland, more victims",1.0
6,,1636.0,,,"Spegelberg, Grete",w,Schwert,,"near Osnabrück, 82 years old",1.0
7,Osnabrück,1636.0,,,"Voß, Gertraudt",w,Schwert,,,1.0
8,Ankum,1636.0,,,"Neyenhaus, Elisabeth",w,,,near Osnabrück,1.0
9,Biel,1640.0,,,"Dybolt, Anna",w,Schwert,y,,1.0
10,Luzern,1651.0,,,"Bidermann, Apollonia",w,Erdrosselt,y,,1.0
11,Seesen,1666.0,,,Tiemann,w,,,"near Braunschweig, no first name",1.0
12,Straßburg,,1669.0,1670.0,"Gruber, Cäcilia",w,Schwert,n,in Kärnten,1.0
13,Zug,1672.0,,,"Eylin, Catharina",w,,,in Switzerland,1.0
14,Zug,1681.0,,,"Petermann, Meinrad",m,Erdrosselt,y,in Switzerland,1.0
15,Zug,1687.0,,,"Geisshüsler, Anna Maria",w,Erdrosselt,y,in Switzerland,1.0
16,Biel,1690.0,,,"Möschler, Verena",w,Schwert,y,in Switzerland,1.0
17,Zug,1691.0,,,"Günzin, Barbara",w,Verbrannt,,in Switzerland,1.0
18,Mühldorf am Inn,1716.0,,,"Heilrad, Felix",m,,,,1.0
19,Salzburg,,1717.0,1718.0,"Gell, Ruepp",m,Exiliert,n,,1.0
20,Salzburg,1720.0,,,"Wind, Simon",m,Schwert,n,,1.0
21,Innsbruck,1738.0,,,"Hofer, Christian",m,Freispruch,n,,1.0
1,Mecklenburg,1570.0,1570.0,1700.0,,,,,,4000.0
2,Westpommern,,,1700.0,,,,,,
3,Brandenburg,,,1618.0,,,,,,240.0
4,Brandenburg,1618.0,1618.0,,,,,,,25.0
5,Sachsenanhalt,1550.0,1550.0,1650.0,,,,,,200.0
6,Quedlinburg,1550.0,1550.0,1650.0,,,,,,40.0
7,Wernigerode,1550.0,1550.0,1650.0,,,,,,40.0
8,Thüringen,1526.0,1526.0,1731.0,,,,,,1500.0
9,Henneberg,1526.0,1526.0,1731.0,,,,,,750.0
10,Coburg,1526.0,1526.0,1731.0,,,,,,230.0
11,Georgenthal,1526.0,1526.0,1731.0,,,,,,50.0
12,Mühlhausen,1526.0,1526.0,1731.0,,,,,,65.0
13,Nordhausen,1526.0,1526.0,1731.0,,,,,,30.0
14,Sachsenanhalt,1570.0,1570.0,1670.0,,,,,,750.0
15,Vorderösterreich,1479.0,1479.0,1711.0,,,,,,1100.0
16,Schwäbischösterreich,1493.0,1493.0,1711.0,,,,,,520.0
17,Hohenberg,1493.0,1493.0,1711.0,,,,,,416.0
18,BadenDurlach,1522.0,1522.0,1579.0,,,,,,9.0
19,BadenBaden,,,1577.0,,,,,,26.0
20,BadenBaden,1577.0,1577.0,1580.0,,,,,,18.0
21,BadenBaden,1626.0,1626.0,1631.0,,,,,,244.0
22,Bamberg,1612.0,1612.0,1619.0,,,,,,170.0
23,Bamberg,1626.0,1626.0,1630.0,,,,,,630.0
24,Bayern,,,,,,,,,1500.0
25,Eichstätt,1590.0,1590.0,1631.0,,,,,,240.0
26,Ellwangen,1588.0,,,,,,,,
27,Ellwangen,1611.0,1611.0,1618.0,,,,,,
28,Offenburg,1595.0,1595.0,1642.0,,,,,,
29,Württemberg,1497.0,1497.0,1700.0,,,,,,350.0
30,Würzburg,1616.0,1616.0,1617.0,,,,,,
31,Würzburg,1625.0,1625.0,1630.0,,,,,,
32,Köln,1617.0,1617.0,1655.0,,,,,,
33,Köln,,,,,,,,,
34,Westfalen,1500.0,1500.0,1732.0,,,,,,915.0
35,VestRecklinghausen,1514.0,,,,,,,,
36,VestRecklinghausen,1580.0,1580.0,1581.0,,,,,,
37,VestRecklinghausen,1588.0,1588.0,1590.0,,,,,,45.0
38,Jütland,1609.0,1609.0,1687.0,,,,,,494.0
39,Fulda,1603.0,1603.0,1606.0,,,,,,
40,Hessen,1500.0,1500.0,1739.0,,,,,,
41,Lippe,1550.0,1550.0,1586.0,,,,,,221.0
42,Münster,1544.0,1544.0,1700.0,,,,,,250.0
43,NassauSaarbrücken,1578.0,1578.0,1679.0,,,,,,52.0
44,Osnabrück,1538.0,1538.0,1669.0,,,,,,90.0
45,Osnabrück,1561.0,1561.0,1639.0,,,,,,
46,Saarland,1500.0,1500.0,1700.0,,,,,,591.0
47,SchleswigHolstein,1530.0,1530.0,1735.0,,,,,,852.0
