trial_id;area;place;date;start_date;end_date;trials;executions;m_ratio;f_ratio;notes
001;Mecklenburg;;;1570;1700;4000;;;;
002;Westpommern;;;;1700;;;;;
003;Brandenburg;;;;1618;240;;;;
004;Brandenburg;;;1618;;25;;;;
005;Sachsenanhalt;;;1550;1650;200;;;;
006;Sachsenanhalt;Quedlinburg;;1550;1650;40;;;;
007;Sachsenanhalt;Wernigerode;;1550;1650;40;;;;
008;Thüringen;;;1526;1731;1500;;;;
009;Thüringen;Henneberg;;1526;1731;750;;;;
010;Thüringen;Coburg;;1526;1731;230;;;;
011;Thüringen;Georgenthal;;1526;1731;50;;;;
012;Thüringen;Mühlhausen;;1526;1731;65;;;;
013;Thüringen;Nordhausen;;1526;1731;30;;;;
014;Sachsenanhalt;;;1570;1670;750;300;;;
015;Vorderösterreich;;;1479;1711;1100;880;;;
016;Schwäbischösterreich;;;1493;1711;520;;;;
017;Schwäbischösterreich;Hohenberg;;1493;1711;416;;;;
018;BadenDurlach;;;1522;1579;9;;;;
019;BadenBaden;;;;1577;26;;;;
020;BadenBaden;;;1577;1580;18;;;;
021;BadenBaden;;;1626;1631;244;231;;;
022;;Bamberg;;1612;1619;170;;;;
023;;Bamberg;;1626;1630;630;;;;
024;Bayern;;;;;1500;200;;;
025;;Eichstätt;;1590;1631;240;;0.12;0.88;
026;;Ellwangen;1588;;;;17;;;
027;;Ellwangen;;1611;1618;;430;;;
028;;Offenburg;;1595;1642;;89;;;
029;Württemberg;;;1497;1700;350;197;0.15;0.85;
030;;Würzburg;;1616;1617;;300;;;
031;;Würzburg;;1625;1630;;900;;;
032;;FreieReichsstadtKöln;;1617;1655;;33;;;
033;Kurköln;Erzstift;;;;;600;;;
034;Kurköln;Westfalen;;1500;1732;915;;;;
035;Kurköln;VestRecklinghausen;1514;;;;11;;;
036;Kurköln;VestRecklinghausen;;1580;1581;;37;;;
037;Kurköln;VestRecklinghausen;;1588;1590;45;21;;;
038;Jütland;;;1609;1687;494;;;;
039;Fulda;;;1603;1606;;239;;;
040;Hessen;;;1500;1739;;2000;;;
041;Lippe;;;1550;1586;221;;;;
042;Münster;;;1544;1700;250;170;;;
043;NassauSaarbrücken;;;1578;1679;52;;;;
044;OsnabrückBistum;;;1538;1669;90;53;;;
045;;OsnabrückStadt;;1561;1639;;276;;;
046;Saarland;;;1500;1700;591;;;;
047;SchleswigHolstein;;;1530;1735;852;;0.1;0.9;
048;Kurtrier;;;;;800;;0.11;0.89;
049;Luzern;;;1550;1675;505;254;;;
050;Solothurn;;;1550;1660;122;55;;;
051;Schwyz;;;1571;1682;50;35;;;
052;Jura;;;1571;1670;191;100;;;
053;StGallen;;;1600;1723;38;24;;;
054;Zürich;;;1533;1714;220;74;;;
055;Bern;;;;;124;40;;;
056;Genf;;;1527;1681;337;68;;;
057;Neuenburg;;;1568;1677;360;243;;;
058;Appenzell;;;1579;1691;91;62;;;
059;Graubünden;;;1600;1750;545;246;;;
060;Luxemburg;;;1560;1683;2500;;;;
061;Ardennen;;;;;725;;;;
062;Baskenland;;;1538;1798;410;;;;
063;Dauphiné;;;1425;1460;287;;;;
064;Languedoc;;;1543;1645;641;;0.08;0.92;
065;Lothringen;;;;;2000;1400;;;
066;Normandie;;;1500;1700;400;;;;
