trial_id,place,date,start_date,end_date,name,gender,sentence,corpse_burned,notes
1,Osnabrück,1583.0,,,"Meyers, Hille",w,burned,,
2,Biel,,1597.0,1598.0,"Mathyß, Hans Heinrich",m,burned,,in Switzerland
3,Goslar,1599.0,,,"Bulicher, Hans",m,burned,,and wife
4,Egeln,,1612.0,1613.0,"Lindemann, Orthien",w,,,near Magdeburg
5,Zug,1615.0,,,"Kapeller, Ann",w,strangled,y,"in Switzerland, more victims"
6,,1636.0,,,"Spegelberg, Grete",w,sword,,"near Osnabrück, 82 years old"
7,Osnabrück,1636.0,,,"Voß, Gertraudt",w,sword,,
8,Ankum,1636.0,,,"Neyenhaus, Elisabeth",w,,,near Osnabrück
9,Biel ,1640.0,,,"Dybolt, Anna",w,sword,y,
10,Luzern,1651.0,,,"Bidermann, Apollonia",w,strangled,y,
